scenario,purchase_cost,mid_cost,big_cost,same_filter_count,all_filters_same,base_plan_total_annual_cost,reoptimized_total_annual_cost,annual_cost_penalty,annual_cost_penalty_pct
purchase_x0.7,210.0,3.0,12.0,9,False,1104.8972727985176,1103.6776940579305,1.219578740587167,0.11050134900372037
mid_x0.7,300.0,2.0999999999999996,12.0,9,False,1328.5501868735473,1326.5813939280597,1.9687929454876212,0.14841101755980066
big_x0.7,300.0,3.0,8.399999999999999,5,False,1359.3192138219715,1351.4044827051644,7.914731116807161,0.5856670758531083
purchase_x0.8,240.0,3.0,12.0,9,False,1204.840981062473,1204.1125078550083,0.7284732074647309,0.060498765913695594
mid_x0.8,300.0,2.4000000000000004,12.0,10,True,1353.9429237791596,1353.9429237791594,2.2737367544323206e-13,1.6793446123163078e-14
big_x0.8,300.0,3.0,9.600000000000001,9,False,1374.4556084114422,1373.7079483176494,0.7476600937927742,0.054426422640155604
purchase_x0.9,270.0,3.0,12.0,9,False,1304.7846893264284,1304.547321652086,0.23736767434229478,0.018195405440846024
mid_x0.9,300.0,2.7,12.0,10,True,1379.335660684772,1379.335660684772,0.0,0.0
big_x0.9,300.0,3.0,10.8,10,True,1389.592003000913,1389.5920030009129,2.2737367544323206e-13,1.6362621183210904e-14
purchase_x1.0,300.0,3.0,12.0,10,True,1404.7283975903838,1404.728397590384,-2.2737367544323206e-13,-1.61863087436162e-14
mid_x1.0,300.0,3.0,12.0,10,True,1404.7283975903838,1404.728397590384,-2.2737367544323206e-13,-1.61863087436162e-14
big_x1.0,300.0,3.0,12.0,10,True,1404.7283975903838,1404.728397590384,-2.2737367544323206e-13,-1.61863087436162e-14
purchase_x1.1,330.0,3.0,12.0,10,True,1504.6721058543394,1504.6721058543394,0.0,0.0
mid_x1.1,300.0,3.3000000000000003,12.0,10,True,1430.121134495996,1430.121134495996,0.0,0.0
big_x1.1,300.0,3.0,13.200000000000001,9,False,1419.8647921798547,1419.6516523784796,0.21313980137506405,0.015013528214331336
purchase_x1.2,360.0,3.0,12.0,8,False,1604.6158141182946,1600.624685857842,3.9911282604525695,0.24934816360860737
mid_x1.2,300.0,3.5999999999999996,12.0,10,True,1455.513871401608,1455.513871401608,0.0,0.0
big_x1.2,300.0,3.0,14.399999999999999,9,False,1435.0011867693256,1434.3211693077953,0.6800174615302694,0.047410404035132976
purchase_x1.3,390.0,3.0,12.0,8,False,1704.5595223822502,1693.203234972716,11.356287409534161,0.6706984238497014
mid_x1.3,300.0,3.9000000000000004,12.0,10,True,1480.9066083072205,1480.9066083072205,0.0,0.0
big_x1.3,300.0,3.0,15.600000000000001,9,False,1450.1375813587963,1448.9906862371113,1.14689512168502,0.0791513108109339
